domain,tasks,blind_fw,blind_bd,pot_m8,pdb,ms,a_plus_i,symba_star,scorpion
airport,50,23,24,22,23,23,27,27,37
barman-opt11-strips,20,8,11,4,8,8,8,12,8
barman-opt14-strips,14,3,6,3,3,3,3,6,3
blocks,35,21,31,21,21,28,27,33,28
childsnack-opt14-strips,20,4,3,2,4,2,2,2,0
depot,22,5,7,4,6,8,7,7,13
driverlog,20,11,14,11,11,13,12,14,15
floortile-opt11-strips,20,14,14,14,14,14,14,14,6
floortile-opt14-strips,20,20,20,17,20,17,20,20,5
freecell,80,20,25,22,20,20,47,26,68
grid,5,2,2,1,2,2,2,2,3
gripper,20,20,20,20,20,20,20,20,7
hiking-opt14-strips,20,16,18,15,16,16,13,18,19
logistics00,28,16,20,20,17,21,0,0,28
logistics98,35,5,6,5,5,6,5,5,12
miconic,150,102,117,88,100,79,78,114,145
movie,30,30,30,30,30,30,30,30,30
mprime,35,25,26,11,25,27,27,27,33
mystery,30,15,15,8,15,17,15,14,19
nomystery-opt11-strips,20,13,16,13,13,16,14,16,20
organic-synthesis-opt18-strips,20,7,7,7,7,7,13,13,7
parking-opt11-strips,20,0,1,0,0,4,1,2,8
parking-opt14-strips,20,0,1,0,0,4,3,4,8
pipesworld-notankage,50,16,17,18,17,21,19,16,27
pipesworld-tankage,50,17,17,18,17,18,17,15,18
psr-small,50,50,50,50,50,50,50,50,50
rovers,40,14,14,11,14,14,12,14,13
satellite,36,7,12,7,7,8,7,12,12
scanalyzer-08-strips,30,12,12,13,12,13,12,12,19
scanalyzer-opt11-strips,20,9,9,10,9,10,10,9,16
snake-opt18-strips,20,7,7,4,7,9,0,0,13
storage,30,15,15,14,15,15,0,0,16
termes-opt18-strips,20,12,18,12,14,12,13,18,7
tetris-opt14-strips,17,10,11,10,10,10,10,11,11
tidybot-opt11-strips,20,15,16,16,16,17,10,13,17
tidybot-opt14-strips,20,9,12,10,11,12,2,5,13
tpp,30,8,8,8,8,8,12,9,11
transport-opt08-strips,30,11,14,11,11,11,11,14,15
transport-opt11-strips,20,8,10,6,7,6,6,11,12
transport-opt14-strips,20,7,9,6,7,7,5,9,10
trucks-strips,30,11,13,11,11,11,14,14,17
visitall-opt11-strips,20,12,12,13,12,13,12,12,17
visitall-opt14-strips,20,6,7,9,6,7,6,6,13
woodworking-opt08-strips,30,21,28,12,20,21,21,28,30
woodworking-opt11-strips,20,16,20,7,14,14,15,20,20
zenotravel,20,9,12,8,10,12,0,0,13
TOTAL,1377,682,777,622,685,704,652,724,912
